 100,0.394208,7.19342,-2.3355,11.8386,0;
 100,0.256767,-21.4471,-3.29015,11.669,0;
 100,0.271537,-21.4656,-3.30376,11.4868,0;
 100,0.267404,-21.599,-3.48233,11.5873,0; 
 200,0.262651,-21.4486,-3.44965,11.4239,0;
 200,0.266879,-21.5952,-3.49649,11.5307,0;
 200,0.248437,-21.563,-3.47568,11.4491,0;
 300,0.248437,-21.563,-3.47568,11.0533,0;
 100,0.363849,-3.5827,-6.74117,11.5433,0;
 100,0.350369,-3.68025,-6.60567,11.6313,0;
 100,0.346117,-3.62978,-6.81671,11.914,0;
 200,0.348897,-3.61856,-6.81408,11.1412,0;
 200,0.362797,-3.56248,-6.80094,11.1915,0; 
 200,0.362797,-3.56248,-6.80094,11.0784,0; 
 150,0.214701,-11.1582,-1.67831,11.6752,0;
 150,0.270453,-9.59235,18.2164,11.5496,0;
 150,0.248312,-11.6143,-1.80963,11.4554,0;
 150,0.269792,-11.2859,-1.8523,10.1172,0;
 150,0.29957,-9.5505,18.2813,11.4428,0;
 150,0.184987,-10.9488,-1.19692,11.6438,0;
 205,0.288677,-9.59824,18.2712,11.5182,1;
 205,0.269792,-11.2859,-1.8523,11.4239,1;
 150,0.288232,-9.17129,-2.81597,11.5433,0;
 150,0.308581,-8.55801,8.11594,10.8271,0;
 150,0.310133,-8.57201,8.11572,11.285, 0;
 205,0.266385,-8.91406,-2.77689,10.8397,1;
 205,0.266385,-8.91406,-2.77689,11.4742,1;
 260,0.320519,-8.38325,7.9242,11.5307,1;
 260,0.279283,-8.89964,-3.00321,11.1287,0;
 260,0.320194,-8.55962,7.91321,11.3297,0;
 150,0.35839,7.72741,12.1454,10.469,0;
 150,0.35839,7.72741,12.1454,9.85333,0;
 150,0.38835,7.28272,-0.348151,10.4313,0;
 205,0.374683,7.64945,11.9527,10.0041,0;
 205,0.364662,7.67688,12.143,10.18,0;
 205,0.351147,7.82883,12.0817,9.11828,0;
 260,0.407828,7.60228,12.1127,9.85333,1; 
 260,0.364662,7.67688,12.143,9.67742,0;
 150,0.319131,-7.36702,12.3395,11.2543,0;
 150,0.312049,-7.29567,12.3052,11.1538,0;
 150,0.313602,-7.03043,12.3135,11.1789,0;
 177.5,0.332181,-7.21014,12.3218,11.2355,0;
 177.5,0.322217,-6.54619,1.03688,11.0973,0;
 205,0.322217,-6.54619,1.03688,10.7454,1;
 205,0.322217,-6.54619,1.03688,11.0533,1; 
 232.5,0.32874,-7.17947,11.8932,11.1852,0;
150,0.697916,-9.04514,9.56396,11.3046,0;
150,0.286399,-8.15149,14.8484,11.1664,0;
 177.5,0.633718,-9.00584,9.59656,11.0973,0;
 177.5,0.29362,-8.21379,14.844,11.3611,0; 
 177.5,0.298143,-8.1037,14.6709,11.2292,0;
 205,0.291088,-8.19191,14.8457,11.2041,1;
 205,0.291678,-8.12858,14.8513,10.2617,1;
 205,0.286399,-8.15149,14.8484,10.67,1;
 232.5,0.292746,-8.12662,14.6681,10.8899,0;
 150,0.195265,-28.9131,17.2263,11.6627,0; 
 150,0.175378,-29.0095,17.3655,11.581,0;
 150,0.166667,-28.3832,9.18529,11.2418,0; 
 168.333,0.208333,-28.208,9.18529,11.7444,0;
 168.333,0.184374,-28.9281,17.3891,11.248,0;
 168.333,0.189177,-28.9405,17.1766,11.248,0; 
 186.667,0.182625,-28.975,17.374,11.7381,0; 
 186.667,0.172819,-28.9189,17.2384,11.8135,0; 
 186.667,0.188453,-28.9477,17.4237,11.1852,0; 
 205,0.184374,-28.9281,17.3891,11.4993,0;
 205,0.188453,-28.9477,17.4237,11.5936,1;
 205,0.168381,-28.7633,17.2111,11.4177,1;
 223.333,0.196684,-28.9059,17.1851,11.4554,1; 
 223.333,0.163909,-28.9257,1.02341,11.3234,1; 
 223.333,0.189177,-28.9405,17.1766,11.4177,1;
 241.667,0.159985,-28.8743,0.945973,11.3611,0;
 241.667,0.15414,-28.8883,1.00145,11.6752,0;
 241.667,0.171875,-28.7786,17.1707,11.4239,0;
 260,0.208333,-28.208,9.18529,11.7506,0;
 260,0.163909,-28.9257,1.02341,11.7946,0;
 260,0.181048,-28.881,17.2488,11.7632,0;
 150,0.233372,-23.7651,16.9313,11.7695,0;
 150,0.2324,-23.7687,16.9593,11.7569,0;
 168.333,0.233372,-23.7651,16.9313,11.7695,0; 
 168.333,0.213542,-23.9914,16.8578,11.2041,0;
 186.667,0.414062,-24.0208,12.4544,11.7381,0;
 186.667,0.414062,-24.0208,12.4544,11.625,0;
 150,0.220664,-23.7139,16.732,11.6815,0;
 150,0.428782,-24.176,12.0278,11.537,0;
 168.333,0.215006,-23.7395,16.7281,11.7192,0;
 186.667,0.429235,-24.1795,12.0494,11.5999,0;
 205,0.222656,-23.7828,16.7228,11.3109,0;
 205,0.203305,-23.7234,16.7418,11.2355,1;
 223.333,0.428941,-24.1764,12.049,11.581,0;
 223.333,0.398437,-24.065,12.0698,11.6627,1;
 241.667,0.428941,-24.1764,12.049,11.5496,0;
150,0.195265,-28.9131,17.2263,11.6627,0; 
 150,0.175378,-29.0095,17.3655,11.581,0;
 150,0.166667,-28.3832,9.18529,11.2418,0; 
 168.333,0.208333,-28.208,9.18529,11.7444,0;
 168.333,0.184374,-28.9281,17.3891,11.248,0;
 168.333,0.189177,-28.9405,17.1766,11.248,0; 
 186.667,0.182625,-28.975,17.374,11.7381,0; 
 186.667,0.172819,-28.9189,17.2384,11.8135,0; 
